TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CTSA8;0,00;;0,00;0,00;0,00;10,14;-3,75;-7,12;0,00;-11,49;-7,06;0,46;0,00;0,00;0,00;0,84;-12,34;-5,57;-8,29;0,45;0,55;0,78;9,79;;;10,05;-1,24;0,00;80.413.617,09
CURY3;10,61;4,86;9,06;4,78;1,06;36,97;20,35;15,77;7,02;6,44;-0,64;-0,43;1,43;4,08;-4,02;1,55;52,72;11,72;32,53;0,22;0,73;0,74;;;23.282.012,36;2,22;1,17;0,04;3.120.144.690,72
CVCB3;4,21;;-2,41;2,81;0,26;100,00;-13,42;-39,85;-7,16;-9,12;-1,77;0,69;0,96;-1,25;-0,59;0,73;-116,29;-10,76;-18,08;0,09;0,91;0,27;-4,94;;96.384.642,86;1,50;-1,75;0,00;1.197.708.374,88
CXSE3;7,88;8,23;9,27;2,01;1,98;;;;8,17;7,85;-0,44;-0,11;;18,46;-2,26;9,23;21,69;21,41;21,12;0,99;0,01;0,00;;18,54;21.672.182,11;3,92;0,85;0,22;23.970.000.000,00
CYRE3;12,88;4,38;6,29;0,79;0,35;32,54;17,75;15,28;5,41;7,31;1,73;0,25;0,96;0,97;-0,77;2,90;12,63;5,55;7,54;0,44;0,52;0,36;8,44;40,16;139.092.784,75;16,22;2,05;-0,43;5.312.581.798,71
DASA3;13,16;2,29;-21,73;0,99;0,29;28,99;6,26;-2,71;9,40;19,11;9,38;0,98;0,59;4,77;-0,41;1,29;-4,54;-1,35;3,94;0,30;0,70;0,50;27,93;;3.541.862,68;13,33;-0,61;-0,03;7.635.075.955,68
DESK3;8,42;0,17;15,85;0,80;0,30;57,26;27,45;7,29;4,21;7,58;3,30;0,63;1,15;8,97;-0,37;1,23;5,03;1,92;9,56;0,38;0,61;0,26;;;2.072.916,61;10,55;0,53;0,12;747.009.269,28
DEXP3;6,59;5,84;4,64;1,18;0,47;17,70;10,18;6,13;2,79;3,78;0,97;0,41;0,28;1,13;-1,33;2,75;25,35;10,07;22,04;0,40;0,52;1,64;32,29;20,48;1.272.298,57;5,60;1,42;-0,14;622.667.060,10
DEXP4;6,06;6,69;4,27;1,08;0,43;17,70;10,18;6,13;2,57;3,78;0,97;0,41;0,26;1,04;-1,23;2,75;25,35;10,07;22,04;0,40;0,52;1,64;32,29;20,48;18.224,04;5,60;1,42;-0,13;622.667.060,10
DIRR3;13,96;3,37;11,86;1,54;0,34;35,38;17,60;8,34;5,62;6,64;0,88;0,24;0,99;0,86;-0,72;3,92;13,00;2,84;10,81;0,22;0,75;0,34;5,52;;42.971.024,32;9,05;1,18;0,88;2.145.000.000,00
DMMO3;1,86;;-258,31;-1,88;2,76;54,54;8,16;-1,10;34,92;32,07;-2,85;;2,85;9,22;-6,65;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;18.274.199,54;-0,99;-0,01;2,51;948.014.228,34
DMVF3;3,96;;9,81;0,24;0,14;32,20;2,15;1,46;6,65;5,77;-0,80;-0,03;0,14;3,00;-0,19;1,20;2,41;1,41;1,57;0,59;0,41;0,97;;;260.801,75;16,73;0,40;0,03;197.857.112,22
DOHL3;10,00;1,20;35,05;1,07;0,80;22,36;2,26;3,37;52,14;45,78;1,82;0,04;1,18;1,82;-1,68;5,83;3,05;2,27;1,61;0,75;0,25;0,67;9,46;6,91;1.000,00;9,37;0,29;-0,42;637.647.271,35
DOHL4;4,39;3,01;15,39;0,47;0,35;22,36;2,26;3,37;22,89;45,78;1,82;0,04;0,52;0,80;-0,74;5,83;3,05;2,27;1,61;0,75;0,25;0,67;9,46;6,91;16.783,19;9,37;0,29;-0,18;637.647.271,35
DOTZ3;1,32;;-1,96;-1,29;0,41;89,80;-73,50;-65,70;-1,75;-0,57;1,23;;1,29;-2,79;-1,22;0,82;-65,88;-21,10;394,70;-0,32;1,32;0,32;;;58.133,25;-1,02;-0,67;-0,03;179.612.958,72
DTCY3;5,91;;-16,90;-28,78;5,33;13,15;-47,85;-49,64;-17,53;-24,17;0,17;;8,39;-18,20;-8,37;0,55;-170,25;-31,53;471,95;-0,19;1,19;0,64;-8,48;;1.419,71;-0,21;-0,35;1,41;91.332.616,16
DTCY4;62,60;;-179,04;-304,82;56,45;13,15;-47,85;-49,64;-185,72;-24,17;0,17;;88,87;-192,81;-88,71;0,55;-170,25;-31,53;471,95;-0,19;1,19;0,64;-8,48;;;-0,21;-0,35;14,96;91.332.616,16
DXCO3;7,33;17,47;4,95;0,94;0,36;34,82;15,97;12,88;3,99;6,67;2,63;0,62;0,64;3,43;-0,56;1,41;19,09;7,27;11,26;0,38;0,62;0,56;15,88;116,62;39.723.599,25;7,76;1,48;-0,22;5.646.345.096,42
EALT3;9,11;13,51;4,74;1,00;0,39;23,54;12,74;8,88;3,31;4,79;1,91;0,58;0,42;-16,19;-0,64;0,94;21,11;8,26;16,93;0,39;0,61;0,93;26,85;;2.102,73;9,10;1,92;0,10;178.327.500,00
EALT4;6,85;19,69;3,57;0,75;0,29;23,54;12,74;8,88;2,49;4,79;1,91;0,58;0,32;-12,18;-0,48;0,94;21,11;8,26;16,93;0,39;0,61;0,93;26,85;;213.047,71;9,10;1,92;0,08;178.327.500,00
ECOR3;3,99;;19,06;1,23;0,15;30,72;24,54;2,68;2,08;9,25;7,13;4,22;0,51;-4,03;-0,18;0,81;6,47;0,81;7,70;0,12;0,86;0,30;10,46;;27.897.110,54;3,24;0,21;-0,12;2.827.116.949,44
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;9.036,67;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;42,83;16,73;2,19;0,66;63,89;31,88;13,96;7,33;9,22;1,85;0,55;2,34;3,89;-0,90;2,91;13,07;3,97;4,62;0,30;0,70;0,28;-8,60;-28,71;156.401,00;134,74;17,61;-0,27;2.864.486.063,75
EEEL4;410,00;33,87;23,28;3,04;0,92;63,89;31,88;13,96;10,19;9,22;1,85;0,55;3,25;5,41;-1,25;2,91;13,07;3,97;4,62;0,30;0,70;0,28;-8,60;-28,71;100.734,67;134,74;17,61;-0,38;2.864.486.063,75
EGIE3;38,16;7,38;16,83;3,87;0,78;52,31;43,75;15,99;6,15;9,16;2,94;1,85;2,69;16,12;-1,03;1,26;23,00;4,66;17,82;0,20;0,80;0,29;14,25;3,64;74.339.922,21;9,86;2,27;-0,64;31.470.332.931,80
EKTR3;36,00;19,89;6,55;2,29;0,67;26,22;22,02;12,43;3,70;5,78;2,19;1,36;0,81;6,31;-1,01;1,48;35,02;10,29;17,99;0,29;0,71;0,83;12,33;24,81;4.904,33;15,69;5,50;0,16;6.771.576.954,00
EKTR4;34,00;23,17;6,19;2,17;0,64;26,22;22,02;12,43;3,49;5,78;2,19;1,36;0,77;5,96;-0,95;1,48;35,02;10,29;17,99;0,29;0,71;0,83;12,33;24,81;36.619,95;15,69;5,50;0,16;6.771.576.954,00
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELET3;41,74;1,85;20,46;0,86;0,36;56,99;24,48;12,50;10,45;14,66;3,90;0,32;2,56;5,10;-0,43;1,76;4,21;1,76;4,52;0,42;0,58;0,14;-9,01;6,50;559.696.455,57;48,45;2,04;-0,76;98.930.021.553,08
ELET5;62,46;3,45;30,62;1,29;0,54;56,99;24,48;12,50;15,63;14,66;3,90;0,32;3,83;7,64;-0,64;1,76;4,21;1,76;4,52;0,42;0,58;0,14;-9,01;6,50;;48,45;2,04;-1,14;98.930.021.553,08
ELET6;44,20;3,65;21,67;0,91;0,38;56,99;24,48;12,50;11,06;14,66;3,90;0,32;2,71;5,41;-0,46;1,76;4,21;1,76;4,52;0,42;0,58;0,14;-9,01;6,50;151.478.951,04;48,45;2,04;-0,80;98.930.021.553,08
ELMD3;9,46;;-161,51;1,80;0,68;32,37;11,24;-1,17;16,83;24,26;7,00;0,75;1,89;-8,94;-0,80;0,67;-1,11;-0,42;4,51;0,38;0,55;0,36;;;2.947.214,75;5,26;-0,06;2,06;1.357.842.404,10
