TICKER,Graham
ITSA3,0.5580439708999237
CAMB4,0.5585524718793803
BRML3,0.5620939424491975
DOHL4,0.562720352516694
CSMG3,0.5651618004450749
BRGE5,0.5656213105188808
CORR4,0.566238932138123
CSNA3,0.5667496897544742
AGRO3,0.5668050506347039
CTKA3,0.5699678777160524
BPAR3,0.5746382316965012
ALUP3,0.5795000961382373
PTNT3,0.5825935479459565
RDNI3,0.5831012132885094
BOBR4,0.5837300238472753
ENGI4,0.584428527850412
ALUP11,0.5852212245107663
ALUP4,0.5872549636048073
BRGE6,0.5891684249203607
BRIV4,0.5924964679182584
BOAS3,0.5941783201737314
TRPL3,0.598182607780926
AZEV3,0.5987336124929452
CCRO3,0.6011587555793948
FESA3,0.6080866781390641
CEEB5,0.6101196517127484
ITUB3,0.6173692074483534
